Feature,Coefficient,Absolute_Importance
Contract_One Year,-0.5189308242070655,0.5189308242070655
Contract_Two Year,-0.42512309040838525,0.42512309040838525
Tech_Support_Yes,-0.21550772011339717,0.21550772011339717
Tenure_Group_Medium,-0.21159508651427358,0.21159508651427358
Tenure_Months,-0.19458591222431465,0.19458591222431465
Monthly_Charges,0.18439057195054112,0.18439057195054112
Payment_Method_Credit Card,-0.11988253254764608,0.11988253254764608
Payment_Method_Debit Card,-0.09476365893557886,0.09476365893557886
Online_Security_Yes,-0.07812187160724199,0.07812187160724199
Internet_Service_Fiber Optic,0.07796023369784517,0.07796023369784517
Internet_Service_No,-0.04764527613389678,0.04764527613389678
Age,-0.044678642767329135,0.044678642767329135
Total_Charges,0.039864996869138886,0.039864996869138886
Payment_Method_UPI,-0.021115321142510548,0.021115321142510548
Tenure_Group_Long-term,0.015644914235928366,0.015644914235928366
Gender_Male,0.015504406615299306,0.015504406615299306
